Individual,Population,Locus1,,Locus2,,Locus3,,Locus4,,Locus5,,Locus6,,Locus7,,Locus8,,Locus9,,Locus10,,Locus11,,Locus12,,Locus13,,Locus14,,Locus15,,Locus16,,Locus17,,Locus18,,Locus19,,Locus20,,Locus21,
20,46,33,34,36,36,41,42,43,44,54,53,45,45,60,60,70,80,51,52,78,79,83,83,125,169,240,248,183,263,282,282,207,231,251,299,158,198,105,121,180,96,1,888
21,46,34,34,36,36,41,42,44,44,51,53,25,35,60,60,80,80,52,52,78,79,83,83,137,141,256,256,179,187,266,278,219,367,207,231,194,222,89,109,180,192,1,888
22,46,33,34,36,36,42,42,43,44,51,52,45,45,60,60,70,80,51,52,78,79,83,83,129,129,252,256,183,215,266,290,227,239,219,251,134,134,101,117,172,180,2,888
23,46,34,34,36,36,41,42,44,44,51,54,45,45,60,60,?,?,?,?,79,79,83,83,137,169,256,276,187,199,270,274,231,239,207,247,166,246,101,113,100,164,1,888
24,46,33,34,36,36,41,42,44,44,51,54,45,25,60,60,70,80,51,52,79,79,83,83,181,205,252,264,243,291,242,290,207,235,207,223,158,178,89,101,120,196,1,888
25,46,33,34,36,36,42,42,44,44,51,51,25,25,50,60,80,80,52,52,79,79,83,83,141,165,244,264,187,195,270,270,215,219,231,239,162,190,105,141,120,180,1,888
26,46,34,34,36,36,41,41,44,44,51,54,45,25,60,60,70,80,52,52,79,79,83,83,125,145,252,256,239,243,270,286,227,239,219,227,134,206,93,117,184,200,1,888
27,46,33,33,36,37,41,42,44,44,51,52,25,25,50,60,80,80,52,52,79,79,83,83,133,137,268,268,179,295,270,270,195,223,207,227,158,186,105,121,120,184,1,888
28,46,33,34,36,36,42,42,44,44,51,51,45,25,50,60,70,80,51,52,78,79,83,83,161,177,244,276,243,263,266,278,215,219,239,263,178,186,113,121,160,172,1,888
29,46,34,34,36,36,42,42,44,44,51,52,25,35,60,60,80,80,51,52,79,79,83,83,157,165,256,264,175,187,274,290,219,219,239,239,162,238,109,121,112,172,1,888
30,46,34,34,36,36,41,42,44,44,52,54,45,25,60,60,70,80,51,52,79,79,83,83,133,165,240,268,179,255,242,274,207,259,211,243,162,230,97,113,112,180,1,888
31,46,33,33,36,36,41,42,44,44,51,52,25,25,60,60,80,80,52,52,78,79,83,83,129,137,248,268,203,223,258,266,179,235,215,227,134,158,101,133,188,196,1,888
32,46,34,34,36,36,41,42,43,44,51,51,45,45,50,60,80,80,52,52,78,79,83,83,121,193,244,268,183,215,262,270,187,211,211,267,134,158,89,101,140,184,1,888
33,46,33,34,36,36,41,42,44,44,51,51,45,35,60,60,80,80,51,52,78,79,83,83,141,145,256,268,187,255,266,274,207,215,247,259,134,162,113,129,160,180,1,888
34,46,33,33,36,37,41,42,44,44,51,53,45,25,60,60,80,80,51,52,78,79,83,83,125,125,260,284,183,259,262,286,219,227,211,219,166,214,97,105,116,168,1,888
35,46,34,34,36,36,41,42,44,44,51,53,45,45,60,60,70,80,51,52,79,79,83,83,157,181,264,276,183,187,266,278,235,247,203,219,166,178,101,129,104,184,1,888
36,46,33,34,36,36,41,41,44,44,51,52,45,45,60,60,70,80,52,52,79,79,83,83,145,181,240,268,171,215,286,290,219,231,207,231,202,214,89,117,104,164,2,888
37,46,33,34,36,37,41,41,44,44,52,52,45,35,60,60,80,80,52,52,79,79,83,83,125,169,240,260,187,267,262,270,215,219,219,287,134,158,133,137,104,228,1,888
38,46,33,34,36,36,41,42,44,44,51,54,25,35,50,60,80,80,52,52,78,79,83,83,177,177,240,276,175,179,266,270,223,231,231,251,166,206,117,157,108,176,1,888
39,46,33,33,36,36,42,42,43,44,53,53,45,25,60,60,70,80,52,52,78,79,83,83,133,133,260,268,179,255,266,274,219,223,227,259,162,170,113,121,152,184,1,888
40,46,34,34,36,37,41,42,44,44,52,54,45,45,60,60,80,80,51,52,78,78,83,83,141,145,256,260,183,203,270,302,219,235,239,239,166,166,89,109,104,172,4,888
41,46,33,34,36,37,41,41,44,44,52,54,45,45,50,60,80,80,52,52,79,79,82,83,121,133,244,272,175,183,286,290,207,239,239,259,134,134,113,113,112,160,4,888
42,46,34,34,36,36,41,42,44,44,51,53,45,25,50,50,70,80,52,52,79,79,83,83,121,177,240,260,191,203,270,274,215,231,207,235,202,218,101,109,176,220,1,888
43,46,33,34,36,36,42,42,44,44,51,52,45,35,60,60,80,80,51,51,78,78,83,83,161,165,252,252,179,239,266,274,211,227,207,283,170,170,113,133,108,192,1,888
44,46,33,34,36,36,41,42,44,44,52,54,45,25,60,60,80,80,52,52,79,79,83,83,133,177,240,260,259,291,270,286,207,235,203,219,166,218,89,89,176,180,1,888
45,46,33,34,37,37,41,41,44,44,54,53,45,35,50,60,80,80,52,52,78,79,83,83,165,177,248,260,187,291,274,290,215,235,219,247,162,178,101,129,108,184,1,888
46,46,33,34,37,37,41,42,44,44,51,51,45,25,60,60,70,80,51,52,79,79,82,83,125,181,248,276,175,247,266,270,231,231,231,271,158,210,113,129,128,228,1,888
47,46,34,34,36,37,41,41,44,44,54,53,45,45,50,60,80,80,51,52,78,79,83,83,145,149,264,268,187,187,270,286,239,259,207,239,134,186,121,121,108,188,1,888
48,46,33,34,36,36,41,42,44,44,51,53,25,25,50,60,80,80,51,52,78,79,83,83,129,185,252,264,187,195,266,294,219,239,215,219,182,210,93,105,108,200,1,888
49,46,33,34,?,?,41,41,44,44,?,?,45,25,50,60,80,80,52,52,78,78,83,83,145,145,248,272,191,203,266,278,219,239,223,243,134,162,89,105,172,96,555,888
50,46,33,34,?,?,41,42,44,44,?,?,25,25,50,60,80,80,52,52,78,79,83,83,113,125,240,252,187,263,266,290,211,223,203,239,158,170,105,105,184,184,555,888
51,46,34,34,36,37,41,41,44,44,54,53,45,25,60,60,80,80,52,52,78,79,83,83,157,173,252,264,251,255,266,286,211,223,243,259,154,194,101,125,176,184,1,888
52,46,34,34,36,36,41,42,44,44,54,54,25,35,60,60,80,80,51,52,79,79,83,83,129,149,252,264,175,207,270,290,207,243,219,243,134,202,101,121,224,228,1,888
53,46,34,34,36,37,41,42,44,44,51,51,25,25,60,60,80,80,52,52,78,79,83,83,181,185,248,268,179,195,278,286,187,223,227,255,162,202,89,137,192,220,1,888
54,46,34,34,36,37,42,42,44,44,51,51,25,35,60,60,80,80,?,?,?,?,83,83,149,149,240,264,191,231,290,302,215,219,211,251,134,182,89,89,128,192,1,888
55,46,33,34,36,36,41,41,44,44,52,53,45,35,60,60,70,80,?,?,78,79,83,83,125,125,240,252,179,191,274,286,219,251,207,207,186,206,89,105,184,192,1,888
56,46,33,34,36,36,41,42,44,44,52,54,45,25,60,60,80,80,52,52,78,79,83,83,157,173,252,260,179,195,266,274,215,347,203,227,134,182,101,101,108,176,1,888
57,46,34,34,36,36,41,42,44,44,51,53,45,25,60,60,80,80,52,52,79,79,83,83,129,137,244,268,175,199,266,278,191,235,207,247,134,234,89,141,172,180,1,888
58,46,33,33,36,36,41,42,44,44,54,53,25,25,60,60,70,80,51,52,79,79,82,83,129,169,236,264,179,251,266,274,179,227,251,259,170,190,109,113,180,228,1,888
59,46,33,34,36,36,41,41,44,44,54,53,45,25,60,60,70,80,52,52,78,79,83,83,125,177,256,260,231,291,266,270,207,235,207,251,182,222,109,113,108,188,1,888
60,46,33,33,36,36,42,42,44,44,51,51,45,25,50,60,80,80,52,52,78,78,83,83,125,129,252,272,159,183,270,274,219,247,223,247,186,202,85,113,164,216,1,888
61,46,34,34,36,37,41,42,44,44,52,53,45,25,60,60,80,80,51,52,79,79,83,83,129,189,260,272,175,183,278,282,235,247,223,227,158,194,113,117,172,188,1,888
62,46,33,34,36,36,41,41,44,44,52,54,25,25,60,60,80,80,51,52,79,79,83,83,185,205,248,252,183,183,266,282,211,219,227,247,134,134,85,101,112,212,1,888
63,46,34,34,36,37,41,42,44,44,51,51,25,25,60,60,80,80,51,52,78,78,83,83,129,169,244,248,167,199,266,286,235,271,211,259,170,186,85,105,104,104,1,888
64,46,33,34,36,37,41,41,44,44,52,54,25,25,60,60,80,80,51,52,79,79,83,83,125,141,244,252,195,283,262,266,235,243,207,275,158,178,101,101,180,184,1,888
65,46,34,34,36,36,42,42,44,44,51,51,25,25,60,60,80,80,51,52,79,79,83,83,169,185,248,264,183,263,270,274,239,243,239,251,134,218,113,113,124,180,1,888
66,46,34,34,36,36,41,42,44,44,51,53,25,25,60,60,70,80,51,52,78,79,83,83,145,153,244,268,175,179,282,290,183,235,227,227,170,226,85,113,184,228,1,888
67,46,33,33,36,36,41,41,44,44,51,52,45,25,60,60,80,80,52,52,79,79,83,83,125,141,248,272,179,195,266,274,215,219,207,219,162,166,89,117,184,184,1,888
68,46,33,33,36,37,42,42,44,44,51,53,45,25,60,60,80,80,52,52,78,79,83,83,133,141,248,256,203,255,266,286,199,227,251,275,138,206,153,157,172,176,1,888
69,46,?,?,36,36,41,41,44,44,51,54,25,25,60,60,80,80,?,?,78,79,83,83,113,177,244,260,183,187,274,278,223,231,227,247,174,186,137,141,124,180,1,888
70,46,34,34,36,36,41,41,44,44,54,54,45,25,60,60,80,80,51,51,78,79,83,83,129,129,240,260,191,275,258,270,211,227,211,211,166,170,113,129,116,176,1,888
71,46,33,34,36,36,41,41,44,44,51,53,45,25,60,60,80,80,52,52,79,79,83,83,149,177,240,252,183,187,262,270,215,235,211,247,170,210,89,89,108,116,1,888
72,46,34,34,36,36,41,42,44,44,51,51,25,35,50,60,80,80,?,?,79,79,83,83,145,165,260,280,171,191,282,290,223,355,243,251,134,182,93,113,192,204,4,888
73,46,33,33,36,36,42,42,44,44,53,53,45,45,50,60,80,80,?,?,79,79,83,83,125,133,236,272,179,259,266,274,207,211,211,231,134,230,105,109,180,216,1,888
74,46,33,33,36,36,41,41,44,44,52,54,25,35,50,50,80,80,?,?,78,79,83,83,133,141,264,268,183,183,270,278,183,203,239,243,134,134,101,113,132,188,1,888
75,46,34,34,36,36,41,42,44,44,51,54,45,25,60,60,80,80,51,52,78,79,83,83,153,181,252,268,207,231,274,286,231,347,203,259,158,186,109,117,176,180,1,888
76,46,?,?,36,36,41,42,44,44,51,53,45,25,60,60,80,80,52,52,79,79,83,83,125,153,232,244,267,191,262,266,195,215,211,243,134,206,89,141,100,132,1,888
77,46,33,34,36,37,41,42,44,44,51,51,25,25,60,60,80,80,52,52,78,79,83,83,133,169,264,264,175,179,270,294,223,243,215,251,166,190,89,113,188,196,1,888
78,46,33,34,36,36,41,42,44,44,51,51,25,25,60,60,80,80,?,?,79,79,83,83,129,157,264,264,179,179,266,290,203,223,207,231,158,162,117,137,104,188,1,888
79,46,33,34,36,36,41,42,44,44,54,53,45,45,60,60,80,80,52,52,78,79,83,83,149,177,248,260,187,199,258,262,207,235,255,267,162,206,109,133,176,224,1,888
80,46,34,34,36,36,41,41,44,44,51,51,25,25,60,60,70,80,52,52,79,79,83,83,149,177,240,244,259,267,266,278,207,235,239,267,170,174,105,117,104,172,1,888
81,46,33,34,36,36,42,42,44,44,51,52,45,25,60,60,80,80,51,51,78,79,83,83,141,145,244,256,183,203,266,274,219,239,207,211,170,230,113,141,180,188,1,888
82,46,33,34,36,36,42,42,44,44,52,54,25,25,60,60,80,80,52,52,79,79,83,83,141,177,240,276,179,183,266,282,219,231,247,251,134,190,85,117,188,96,1,888
83,46,34,34,36,37,41,42,44,44,51,52,25,35,50,60,80,80,52,52,79,79,83,83,181,185,244,248,183,263,262,270,207,211,219,231,154,182,101,153,112,172,1,888
84,46,34,34,36,36,41,41,44,44,54,54,45,25,60,60,70,80,52,52,78,78,83,83,141,181,236,260,179,247,266,298,199,227,207,223,134,178,89,117,112,180,1,888
85,46,33,34,36,37,41,42,44,44,54,53,?,?,50,50,70,80,?,?,?,?,83,83,121,177,260,272,167,187,266,286,215,215,211,251,170,182,109,125,184,188,1,888
86,46,33,34,36,36,41,42,44,44,54,53,45,25,50,60,80,80,51,51,79,79,83,83,181,189,248,252,259,279,266,270,191,227,199,219,134,170,105,129,120,196,1,888
87,46,34,34,36,36,41,41,44,44,51,54,45,35,50,60,70,70,51,52,78,79,83,83,125,173,260,268,255,259,266,278,183,235,247,247,134,166,101,105,108,220,1,888
88,46,33,34,36,37,41,42,44,44,51,53,25,25,60,60,80,80,52,52,78,79,83,83,153,157,248,260,247,259,270,278,231,239,203,271,158,202,85,113,152,176,1,888
89,46,34,34,36,36,41,41,44,44,52,54,25,25,60,60,70,80,52,52,78,79,83,83,129,169,240,252,179,179,262,262,203,211,235,243,134,134,101,117,180,180,13,888
90,46,?,?,36,36,41,41,44,44,54,54,25,25,60,60,80,80,51,52,78,79,83,83,129,129,224,240,259,307,270,274,219,235,243,255,134,170,113,121,220,224,1,888
91,46,34,34,36,36,41,41,44,44,51,53,25,25,50,60,?,?,51,52,78,78,83,83,161,169,248,256,179,195,266,266,227,239,199,239,174,230,109,145,176,208,1,888
92,46,33,33,36,36,41,42,44,44,51,53,45,25,60,60,80,80,52,52,79,79,83,83,153,157,252,272,207,243,270,278,187,203,215,275,158,210,101,117,112,132,1,888
93,46,33,34,36,37,41,41,44,44,51,53,45,35,60,60,80,80,52,52,78,79,83,83,129,169,252,268,179,259,270,286,211,231,239,247,158,178,89,109,128,200,1,888
94,46,33,34,36,36,42,42,43,44,51,53,45,25,60,60,80,80,52,52,79,79,83,83,129,133,236,240,187,291,266,270,227,239,235,267,162,186,113,117,128,160,1,888
95,46,33,34,36,36,41,42,44,44,51,51,25,25,50,60,80,80,52,52,78,79,83,83,129,177,244,248,243,251,270,278,207,259,203,251,178,210,89,117,116,124,1,888
96,46,34,34,36,36,41,41,44,44,51,51,45,25,60,60,80,80,52,52,78,79,83,83,129,169,232,240,187,259,266,270,211,255,211,219,130,162,89,113,116,120,1,888
97,46,33,34,36,36,?,?,44,44,54,53,45,25,60,60,70,70,?,?,?,?,?,?,161,185,244,268,187,259,266,266,239,359,215,219,174,186,89,109,172,220,1,888
98,46,34,34,36,36,41,42,44,44,51,53,45,25,60,60,80,80,?,?,?,?,?,?,125,149,240,248,179,183,270,294,219,251,203,251,182,206,117,121,164,204,1,888
1,47,33,34,36,36,42,42,44,44,52,54,45,25,60,60,80,80,52,52,?,?,83,83,125,173,244,244,171,203,270,270,219,227,215,223,134,134,101,109,148,204,1,888
2,47,34,34,36,36,42,42,44,44,51,53,25,25,60,60,70,80,52,52,?,?,83,83,157,185,248,268,175,251,262,270,187,251,239,267,134,186,93,105,104,200,1,888
3,47,34,34,36,37,41,42,44,44,52,54,25,25,60,60,80,80,52,52,78,79,82,83,129,181,220,264,191,243,258,262,207,219,215,231,198,218,105,117,108,116,1,888
4,47,33,34,36,37,41,42,44,44,51,54,?,?,60,60,80,80,51,52,79,79,83,83,129,173,248,260,179,299,266,286,203,215,211,227,158,178,113,117,176,180,1,888
5,47,33,34,36,36,42,42,44,44,51,51,45,25,50,60,80,80,51,52,78,79,82,83,125,141,252,256,179,183,262,266,227,239,207,211,134,166,105,113,136,220,1,888
6,47,34,34,36,36,42,42,44,44,51,54,45,25,60,60,80,80,52,52,?,?,82,83,137,185,256,268,171,259,266,282,219,231,227,255,134,158,89,121,156,188,1,888
7,47,34,34,36,37,42,42,44,44,52,54,25,35,60,60,80,80,52,52,79,79,82,83,145,157,256,260,247,251,282,290,191,211,211,223,162,234,89,113,108,124,1,888
8,47,33,34,36,37,42,42,44,44,52,52,45,25,60,60,70,80,51,52,?,?,83,83,137,165,248,268,211,267,266,266,207,231,203,227,170,186,89,113,172,220,1,888
9,47,33,34,36,36,41,41,44,44,52,53,45,45,60,60,70,80,52,52,78,79,83,83,145,173,248,264,179,195,258,258,207,231,227,255,210,222,89,89,152,180,1,888
10,47,33,34,36,37,41,41,44,44,51,53,45,45,60,60,80,80,52,52,79,79,82,83,169,173,240,264,263,267,266,278,187,207,227,263,166,202,89,113,188,192,1,888
11,47,34,34,36,36,41,42,44,44,51,52,25,25,60,60,80,80,52,52,79,79,82,83,125,185,236,264,191,203,274,278,211,219,211,243,190,218,113,137,176,200,1,888
12,47,34,34,36,37,41,41,44,44,51,54,45,25,?,?,80,80,51,52,?,?,82,83,129,157,256,268,163,203,258,270,227,227,223,243,134,166,105,109,116,196,1,888
13,47,34,34,36,36,41,42,44,44,51,51,45,45,60,60,80,80,51,52,78,79,83,83,125,125,256,256,187,203,278,282,219,251,207,219,166,186,109,113,184,216,4,888
14,47,33,33,36,36,42,42,44,44,51,53,45,45,60,60,70,80,51,52,79,79,83,83,145,181,244,256,191,271,262,270,215,223,211,227,134,170,89,113,104,216,1,888
15,47,34,34,36,37,41,41,44,44,51,52,45,35,?,?,?,?,?,?,79,79,83,83,133,173,240,272,187,207,270,290,199,235,207,219,134,174,101,109,184,220,1,888
16,47,33,34,36,36,42,42,44,44,51,51,45,45,60,60,80,80,51,51,?,?,83,83,149,157,248,260,191,207,266,266,223,235,207,223,170,210,105,145,108,200,9,888
17,47,33,34,36,36,41,42,44,44,51,52,45,25,60,60,80,80,52,52,79,79,83,83,137,165,248,284,175,187,286,294,223,235,235,271,234,250,109,117,128,208,1,888
18,47,34,34,36,36,42,42,44,44,?,?,45,25,60,60,80,80,51,52,79,79,83,83,129,129,252,256,183,251,266,266,227,227,243,251,134,186,117,117,104,192,1,888
19,47,33,34,36,37,42,42,44,44,54,53,45,35,?,?,80,80,51,51,79,79,83,83,129,169,244,256,175,191,258,278,203,211,203,223,134,158,97,137,104,188,1,888
20,47,34,34,36,36,41,42,44,44,51,54,45,25,60,60,70,80,51,52,78,78,83,83,149,177,232,260,191,203,274,286,223,235,207,243,134,230,93,113,172,184,1,888
21,47,33,34,36,37,42,42,44,44,51,52,45,25,60,60,70,80,52,52,79,79,83,83,125,137,232,240,179,219,270,270,199,239,207,239,162,218,89,113,124,172,1,888
22,47,34,34,36,37,42,42,44,44,52,53,45,25,60,60,80,80,51,52,79,79,83,83,137,185,256,264,255,263,270,294,191,219,207,243,170,182,113,113,172,188,1,888
23,47,33,34,36,36,42,42,44,44,51,51,45,45,60,60,80,80,52,52,78,79,82,83,129,185,256,264,187,191,262,270,211,215,211,255,134,190,89,137,180,184,1,888
24,47,34,34,36,36,41,42,44,44,51,54,45,25,60,60,80,80,51,52,78,79,82,83,133,137,232,280,171,175,266,282,187,199,243,255,134,242,113,121,104,176,1,888
25,47,33,34,36,36,41,41,44,44,51,51,45,25,60,60,70,80,52,52,78,79,83,83,165,185,240,264,175,279,254,266,211,251,227,231,134,166,89,125,108,144,1,888
26,47,34,34,36,36,42,42,44,44,52,53,45,25,60,60,70,80,52,52,78,79,83,83,125,149,244,288,187,267,270,286,219,227,211,239,162,186,89,105,112,204,1,888
27,47,33,33,36,36,41,42,44,44,51,54,45,45,60,60,80,80,52,52,79,79,83,83,169,169,248,284,175,243,270,282,203,219,211,255,158,190,93,113,?,?,1,888
28,47,33,34,36,36,41,42,44,44,51,51,45,25,60,60,80,80,52,52,79,79,83,83,117,165,260,268,183,279,266,270,203,211,207,255,170,246,113,133,120,144,1,888
29,47,33,34,36,37,41,42,44,44,51,53,25,25,50,60,80,80,52,52,79,79,83,83,129,189,252,252,175,191,266,266,215,215,211,255,134,134,89,105,128,180,1,888
30,47,34,34,36,36,41,41,44,44,54,54,45,25,60,60,70,80,51,52,79,79,83,83,149,185,240,248,259,271,270,282,231,263,223,239,134,186,101,125,184,236,1,888
31,47,34,34,36,36,42,42,44,44,51,54,45,25,50,60,80,80,52,52,79,79,83,83,129,169,236,240,187,187,286,294,239,243,215,263,134,242,89,137,112,112,1,888
32,47,33,34,36,37,41,42,44,44,51,51,25,25,?,?,?,?,?,?,78,78,83,83,129,169,252,260,195,271,270,270,211,239,219,227,166,170,89,129,116,176,1,888
33,47,33,34,36,36,41,42,44,44,52,52,45,45,50,60,80,80,52,52,78,79,83,83,157,181,244,252,259,271,266,274,223,239,215,227,134,162,113,121,120,168,1,888
34,47,34,34,37,37,41,41,44,44,51,54,25,25,60,60,80,80,52,52,79,79,83,83,129,165,252,264,175,255,266,286,223,231,215,223,134,166,109,133,128,228,1,888
35,47,33,34,36,36,41,42,44,44,52,53,25,35,60,60,80,80,52,52,79,79,83,83,129,133,248,268,243,247,262,270,231,251,211,251,134,174,89,105,108,216,1,888
36,47,?,?,36,36,41,42,44,44,51,51,25,25,60,60,80,80,52,52,79,79,83,83,129,165,236,268,183,259,270,270,243,275,215,251,134,134,117,133,152,180,1,888
37,47,33,34,36,36,42,42,44,44,51,54,45,25,60,60,70,80,51,51,79,79,83,83,125,125,236,256,187,187,274,278,239,251,227,231,134,134,97,101,148,176,9,888
38,47,33,34,37,37,42,42,44,44,51,52,45,25,60,60,80,80,52,52,79,79,83,83,113,129,256,272,187,207,262,266,251,251,243,259,158,166,113,157,184,240,1,888
39,47,34,34,36,36,42,42,44,44,51,52,25,25,60,60,80,80,51,52,79,79,83,83,185,185,232,268,251,263,266,266,183,215,207,211,134,158,101,117,120,184,1,888
40,47,34,34,36,36,41,41,44,44,52,54,45,25,60,60,70,80,52,52,79,79,83,83,137,201,256,268,179,179,266,274,215,239,223,227,158,158,117,137,172,228,1,888
41,47,33,34,36,37,41,41,44,44,51,52,25,25,60,60,70,80,51,52,78,79,83,83,129,129,256,264,199,207,262,282,207,219,255,267,182,198,89,101,112,192,1,888
42,47,?,?,36,36,41,42,44,44,54,54,25,25,60,60,80,80,52,52,?,?,?,?,129,149,248,260,183,271,258,266,187,219,223,235,134,186,113,113,136,228,1,888
43,47,34,34,36,36,41,41,44,44,52,54,45,25,60,60,80,80,52,52,79,79,83,83,165,189,240,288,183,191,278,278,215,223,207,231,134,166,125,133,192,228,1,888
44,47,34,34,36,36,41,42,44,44,51,52,25,35,60,60,80,80,51,52,79,79,?,?,153,177,264,272,247,259,282,286,215,235,203,203,158,238,133,145,172,188,9,888
45,47,33,34,36,36,42,42,44,44,51,51,25,25,50,60,80,80,51,52,78,79,83,83,177,181,236,252,187,207,278,286,207,223,215,215,174,194,89,109,120,124,9,888
46,47,33,34,36,37,42,42,44,44,51,51,25,25,60,60,80,80,51,52,79,79,83,83,157,161,248,252,199,251,266,282,215,219,207,227,134,170,89,93,176,224,1,888
47,47,33,34,36,36,41,42,44,44,51,54,25,35,60,60,80,80,51,52,?,?,83,83,121,125,236,264,179,211,262,274,223,235,203,231,134,226,89,101,112,184,1,888
48,47,33,34,36,37,41,42,44,44,51,52,25,25,60,60,80,80,51,52,79,79,83,83,129,161,252,268,187,263,274,290,207,215,207,223,158,178,109,121,152,176,1,888
49,47,33,34,36,36,42,42,44,44,52,52,45,25,60,60,80,80,52,52,78,79,83,83,125,137,232,244,179,231,278,286,223,235,215,251,170,218,113,117,192,212,1,888
50,47,33,34,36,37,41,41,43,44,52,54,45,45,60,60,80,80,51,52,78,79,83,83,117,133,220,248,211,263,242,266,215,219,231,251,174,202,89,93,?,?,9,888
51,47,33,33,36,37,41,42,44,44,51,51,45,35,60,60,80,80,51,52,78,79,83,83,129,133,236,248,175,179,266,274,215,219,211,267,194,206,113,113,116,172,1,888
52,47,33,34,36,36,41,42,44,44,54,54,25,25,60,60,70,80,51,52,79,79,83,83,153,181,268,272,171,267,270,298,223,259,211,211,134,170,105,137,172,200,9,888
53,47,33,34,36,37,41,41,44,44,51,54,25,25,50,60,80,80,51,52,78,79,83,83,137,149,240,244,183,267,274,286,207,215,227,231,158,206,89,117,200,208,4,888
54,47,33,34,37,37,42,42,44,44,54,53,45,25,60,60,70,80,51,52,78,79,83,83,129,193,252,256,179,259,270,294,207,215,223,239,166,214,113,129,108,172,1,888
55,47,33,34,36,36,41,42,44,44,54,54,25,25,60,60,70,80,51,52,79,79,83,83,125,141,240,264,175,243,262,270,215,243,219,251,134,178,125,129,180,204,4,888
56,47,33,34,36,37,42,42,44,44,51,51,25,25,50,60,80,80,51,52,78,79,82,83,121,149,240,276,203,267,266,266,235,251,215,223,162,170,109,133,168,192,4,888
57,47,34,34,36,36,41,42,44,44,51,54,45,25,60,60,80,80,52,52,78,79,83,83,121,165,248,256,179,259,266,286,199,247,227,259,194,202,101,125,168,180,1,888
58,47,33,34,36,36,41,42,44,44,51,52,45,25,60,60,80,80,52,52,78,79,83,83,125,165,244,252,187,219,266,286,211,223,207,271,186,218,85,133,164,188,1,888
59,47,34,34,36,36,42,42,44,44,54,54,45,25,50,60,80,80,52,52,79,79,83,83,133,141,268,272,187,195,258,294,179,203,207,247,134,190,105,141,176,192,4,888
60,47,33,33,36,37,41,42,44,44,51,54,45,35,60,60,80,80,52,52,78,79,83,83,149,157,240,244,251,259,270,302,219,243,211,223,158,158,97,109,152,176,1,888
61,47,33,34,36,36,42,42,44,44,51,54,25,35,50,60,80,80,52,52,78,79,83,83,137,153,248,252,175,183,266,282,207,215,219,235,162,170,101,133,172,188,1,888
62,47,33,33,36,36,41,42,44,44,51,54,25,25,60,60,70,80,51,52,78,79,83,83,129,169,244,252,231,231,266,274,199,215,219,227,166,178,133,141,176,184,1,888
63,47,34,34,36,37,42,42,44,44,51,52,45,25,60,60,80,80,51,52,79,79,83,83,125,137,244,260,175,299,266,270,195,259,207,207,158,166,109,117,196,216,1,888
64,47,33,34,36,36,41,41,44,44,51,54,?,?,60,60,80,80,52,52,78,79,82,83,133,141,252,256,191,235,262,274,203,275,211,247,134,218,101,141,188,188,1,888
65,47,33,34,36,37,42,42,44,44,51,51,45,25,60,60,80,80,52,52,78,79,83,83,153,173,240,260,187,283,266,286,199,219,227,231,134,178,89,125,128,220,1,888
66,47,33,34,36,36,41,42,44,44,51,54,?,?,60,60,80,80,52,52,79,79,83,83,169,193,244,252,235,239,270,282,235,243,207,211,134,166,113,137,176,188,1,888
67,47,34,34,36,36,42,42,44,44,52,53,45,45,60,60,80,80,52,52,78,79,83,83,125,165,232,284,175,183,270,270,219,251,211,231,134,222,85,121,184,220,1,888
68,47,33,34,36,36,41,41,44,44,51,52,45,25,60,60,70,80,51,52,78,79,83,83,173,181,244,264,211,259,270,270,227,239,211,215,186,206,101,101,176,192,1,888
69,47,34,34,36,36,41,42,44,44,51,52,25,35,60,60,80,80,52,52,78,79,83,83,129,189,256,280,215,263,266,266,199,243,215,223,134,170,109,113,100,172,1,888
70,47,33,33,36,36,41,42,44,44,51,51,25,25,50,60,70,80,51,51,79,79,83,83,133,165,240,260,175,191,266,278,215,215,235,243,158,166,101,109,192,196,1,888
71,47,33,34,36,36,41,42,44,44,51,54,45,25,60,60,80,80,51,52,79,79,?,?,117,169,260,280,179,227,266,274,211,231,203,223,134,190,101,109,116,220,1,888
72,47,33,34,36,37,42,42,44,44,52,54,25,25,60,60,80,80,52,52,79,79,83,83,177,185,264,264,191,239,270,282,211,219,211,275,170,198,109,129,180,184,1,888
73,47,34,34,36,36,42,42,44,44,51,54,45,25,50,60,80,80,52,52,79,79,83,83,137,161,236,248,191,267,266,298,211,231,211,231,134,158,117,141,184,228,1,888
74,47,33,34,36,36,41,41,44,44,51,51,25,25,60,60,80,80,52,52,79,79,83,83,173,185,248,268,187,203,266,270,211,231,207,211,134,134,85,89,116,192,1,888
1,48,34,34,36,36,41,42,44,44,53,53,45,25,60,60,80,80,52,52,78,79,82,83,169,177,240,252,207,251,238,250,207,251,215,247,134,202,101,109,112,160,1,888
2,48,33,33,36,36,41,41,44,44,52,54,45,25,60,60,80,80,?,?,79,79,82,83,165,193,244,248,183,247,242,246,183,247,207,247,134,170,89,113,116,172,4,888
3,48,34,34,36,36,42,42,44,44,52,54,45,25,60,60,80,80,51,52,78,79,83,83,121,165,256,272,183,263,254,270,183,263,231,263,134,202,125,129,196,216,1,888
4,48,34,34,36,36,41,42,44,44,52,54,25,25,50,60,80,80,51,52,79,79,83,83,169,177,264,268,179,255,266,266,179,255,247,247,186,198,89,113,176,196,1,888
